EmployeeNumber,EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,HireDate,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,TerminationDate,BusinessTravel,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
15,EMP00015,Deborah,Smith,Female,44,Single,PhD,Technical Degree,R&D,Director of R&D,5,2017-01-02,8,7,2,3,No,,Non-Travel,256,21,1,32,1,2,164901,181391.1,1,Y,No,25,3,4,40,0,9,4,4
16,EMP00016,Carrie,Dickson,Female,36,Single,Associate,Marketing,R&D,R&D Manager,4,2022-06-06,3,1,1,2,No,,Travel_Rarely,424,12,1,53,2,2,93686,103054.6,8,Y,No,21,3,3,40,2,11,4,4
17,EMP00017,Jennifer,Hernandez,Female,32,Single,Master,Technical Degree,Sales,Sales Director,5,2023-01-13,1,0,0,0,Yes,2024-07-18,Non-Travel,208,10,1,26,3,4,94989,104487.90000000001,5,Y,Yes,22,4,4,40,1,6,4,1
18,EMP00018,Casey,Ray,Male,44,Single,High School,Technical Degree,R&D,Senior Researcher,2,2022-10-23,2,1,1,2,No,,Non-Travel,280,47,1,35,2,2,89917,98908.70000000001,2,Y,No,21,1,3,40,0,4,3,1
19,EMP00019,Melanie,Reilly,Female,33,Married,Master,Medical,HR,HR Director,5,2020-01-03,5,3,2,1,No,,Non-Travel,320,47,1,40,3,1,71995,79194.5,10,Y,No,14,4,4,40,1,15,4,4
20,EMP00020,Emily,Robertson,Female,42,Single,PhD,Life Sciences,R&D,R&D Manager,4,2016-04-27,9,8,8,2,No,,Travel_Rarely,424,31,1,53,4,2,106905,117595.50000000001,3,Y,No,14,5,3,40,1,12,0,3
21,EMP00021,Jessica,Walls,Female,57,Single,Master,Technical Degree,R&D,Director of R&D,5,2024-03-16,0,0,0,0,Yes,2024-11-06,Non-Travel,328,7,1,41,1,2,149411,164352.1,9,Y,Yes,16,3,4,40,1,9,0,4
22,EMP00022,Deborah,Potter,Female,47,Married,PhD,Marketing,Sales,Sales Director,5,2018-06-07,7,3,1,7,No,,Non-Travel,384,40,1,48,1,1,121887,134075.7,1,Y,Yes,24,2,3,40,3,8,5,3
23,EMP00023,Sean,Michael,Male,51,Single,Bachelor,Marketing,Sales,Sales Director,5,2019-06-21,5,3,1,0,No,,Travel_Rarely,272,3,1,34,3,1,102830,113113.00000000001,3,Y,No,18,3,1,40,1,8,1,4
24,EMP00024,John,Stewart,Male,52,Married,PhD,Technical Degree,HR,HR Director,5,2022-12-02,0,0,0,0,Yes,2023-09-22,Travel_Rarely,464,26,1,58,3,4,77269,84995.90000000001,0,Y,No,12,3,1,40,0,0,5,4
25,EMP00025,Stephanie,Ramirez,Female,55,Single,Master,Life Sciences,R&D,Research Scientist,1,2023-06-25,1,0,0,1,No,,Non-Travel,280,21,1,35,2,1,70039,77042.90000000001,0,Y,No,16,3,4,40,2,1,1,3
26,EMP00026,Justin,Hernandez,Male,44,Single,Master,Technical Degree,R&D,R&D Manager,4,2014-10-19,10,4,4,8,No,,Non-Travel,408,3,1,51,1,4,133355,146690.5,6,Y,No,16,2,2,40,2,16,0,3
27,EMP00027,Christina,Escobar,Female,52,Married,Associate,Medical,R&D,R&D Manager,4,2024-12-16,0,0,0,0,No,,Non-Travel,216,19,1,27,1,1,102952,113247.20000000001,6,Y,Yes,22,3,1,40,1,6,4,4
28,EMP00028,Patrick,Nelson,Male,53,Married,Bachelor,Life Sciences,R&D,Director of R&D,5,2024-03-18,0,0,0,0,Yes,2024-10-05,Non-Travel,224,5,1,28,2,4,143740,158114.0,10,Y,No,23,3,3,40,3,10,6,2
29,EMP00029,Sabrina,Flores,Female,51,Married,Master,Technical Degree,Sales,Sales Director,5,2019-01-13,6,5,4,0,No,,Non-Travel,328,15,1,41,4,4,117480,129228.00000000001,7,Y,No,16,3,4,40,0,13,5,4
30,EMP00030,James,Frey,Male,34,Single,Associate,Marketing,Sales,Sales Executive,1,2015-05-11,10,1,0,5,No,,Non-Travel,256,13,1,32,1,3,40037,44040.700000000004,9,Y,Yes,18,4,1,40,3,19,5,4
31,EMP00031,Douglas,Pace,Male,33,Married,Associate,Marketing,R&D,Research Scientist,1,2016-04-24,0,0,0,0,Yes,2016-10-27,Non-Travel,384,33,1,48,4,3,48011,52812.100000000006,4,Y,No,15,5,1,40,0,4,1,2
32,EMP00032,Ariel,Lara,Female,58,Married,Master,Technical Degree,R&D,Director of R&D,5,2012-06-14,13,4,1,2,No,,Travel_Rarely,296,3,1,37,2,1,156062,171668.2,0,Y,No,18,4,4,40,1,13,2,3
33,EMP00033,Stephanie,Smith,Female,53,Divorced,PhD,Marketing,Sales,Sales Director,5,2024-04-25,1,0,0,1,No,,Travel_Rarely,448,20,1,56,4,1,126783,139461.30000000002,5,Y,Yes,16,3,3,40,0,6,1,2
34,EMP00034,Heather,Larson,Female,29,Married,Bachelor,Marketing,Sales,Sales Manager,3,2020-02-17,5,5,0,4,No,,Travel_Rarely,192,40,1,24,1,1,62986,69284.6,9,Y,No,17,3,4,40,2,14,1,4
35,EMP00035,Thomas,Robinson,Male,35,Single,Master,Medical,Sales,Sales Director,5,2016-03-13,9,6,0,0,No,,Non-Travel,184,23,1,23,1,2,92014,101215.40000000001,5,Y,No,23,1,2,40,1,14,0,3
36,EMP00036,Rickey,Mcconnell,Male,38,Single,Bachelor,Medical,R&D,R&D Manager,4,2019-07-22,5,3,2,3,No,,Non-Travel,304,23,1,38,4,4,122975,135272.5,1,Y,No,18,4,4,40,1,6,5,4
37,EMP00037,Wanda,Morse,Female,56,Single,Associate,Other,R&D,Director of R&D,5,2023-12-17,1,0,0,0,No,,Non-Travel,328,4,1,41,3,1,130446,143490.6,3,Y,No,24,3,4,40,1,4,4,2
38,EMP00038,Valerie,Hughes,Female,40,Single,High School,Marketing,R&D,Senior Researcher,2,2024-04-11,1,0,0,1,No,,Non-Travel,400,32,1,50,1,3,92323,101555.3,5,Y,Yes,14,3,4,40,1,6,5,2
39,EMP00039,Ronald,Jarvis,Male,33,Married,Master,Life Sciences,R&D,Director of R&D,5,2024-07-13,0,0,0,0,No,,Non-Travel,296,36,1,37,3,2,138760,152636.0,3,Y,No,25,5,3,40,0,3,2,4
40,EMP00040,Debra,Douglas,Female,53,Married,Master,Other,HR,HR Director,5,2022-03-04,3,1,0,2,No,,Non-Travel,288,14,1,36,1,4,85008,93508.8,5,Y,No,15,3,3,40,0,8,2,2
41,EMP00041,Brooke,Singleton,Non-Binary,40,Married,PhD,Marketing,R&D,Director of R&D,5,2023-02-12,2,1,0,2,No,,Non-Travel,176,46,1,22,4,4,174179,191596.90000000002,8,Y,No,22,3,2,40,0,10,5,3
42,EMP00042,Jeffrey,Morgan,Male,43,Married,Bachelor,Other,R&D,R&D Manager,4,2019-09-07,5,3,1,5,No,,Non-Travel,216,42,1,27,1,2,112144,123358.40000000001,8,Y,No,20,3,3,40,0,13,4,3
43,EMP00043,Dana,Murphy,Female,32,Divorced,High School,Technical Degree,R&D,R&D Manager,4,2017-03-19,8,2,0,1,No,,Travel_Frequently,200,16,1,25,4,2,96597,106256.70000000001,6,Y,No,20,3,1,40,3,14,0,4
44,EMP00044,Caitlin,Mercado,Female,50,Married,Bachelor,Marketing,R&D,R&D Manager,4,2024-01-08,1,0,0,1,No,,Travel_Frequently,352,9,1,44,4,3,122603,134863.30000000002,9,Y,No,24,3,1,40,1,10,0,1
45,EMP00045,Heather,Wilson,Female,48,Married,Master,Technical Degree,Sales,Sales Director,5,2023-09-21,1,0,0,1,No,,Non-Travel,360,20,1,45,4,3,100320,110352.00000000001,7,Y,Yes,18,3,4,40,2,8,1,2
46,EMP00046,Amanda,Wood,Female,33,Single,Associate,Medical,Sales,Sales Executive,1,2012-11-24,12,10,8,1,No,,Travel_Rarely,456,11,1,57,1,1,45070,49577.00000000001,4,Y,No,16,3,1,40,0,16,0,3
47,EMP00047,Jamie,Morales,Female,50,Single,Bachelor,Marketing,HR,HR Manager,3,2018-11-25,6,3,0,2,No,,Travel_Rarely,432,41,1,54,3,2,57961,63757.100000000006,4,Y,No,21,3,3,40,0,10,6,2
48,EMP00048,Larry,Martinez,Male,40,Married,PhD,Other,R&D,Director of R&D,5,2017-09-05,7,3,2,1,No,,Travel_Rarely,168,27,1,21,2,2,159972,175969.2,5,Y,No,11,5,2,40,2,12,3,3
49,EMP00049,Robert,Chen,Male,27,Divorced,Bachelor,Medical,R&D,Senior Researcher,2,2023-07-22,1,0,0,1,No,,Travel_Rarely,200,24,1,25,1,3,90784,99862.40000000001,3,Y,No,22,4,4,40,0,4,3,2
50,EMP00050,Kim,Miles,Female,49,Single,Associate,Marketing,HR,HR Specialist,1,2024-01-03,1,0,0,0,No,,Travel_Rarely,440,13,1,55,1,1,35139,38652.9,5,Y,Yes,22,4,4,40,0,6,3,4
51,EMP00051,Scott,Boyd,Male,26,Single,Associate,Life Sciences,R&D,Senior Researcher,2,2023-01-27,2,2,0,0,No,,Non-Travel,208,9,1,26,4,2,84141,92555.1,4,Y,Yes,19,3,3,40,0,6,4,1
52,EMP00052,Alec,Medina,Male,52,Single,Bachelor,Medical,R&D,R&D Manager,4,2023-09-14,1,1,1,1,No,,Travel_Rarely,456,3,1,57,2,4,115169,126685.90000000001,0,Y,No,13,5,4,40,2,1,3,4
53,EMP00053,Alex,Cook,Male,58,Divorced,Bachelor,Medical,R&D,R&D Manager,4,2024-10-26,0,0,0,0,No,,Travel_Rarely,232,44,1,29,3,2,108199,119018.90000000001,2,Y,Yes,20,4,4,40,0,2,5,3
54,EMP00054,Andrew,Mullen,Male,58,Divorced,Master,Medical,R&D,R&D Manager,4,2019-10-08,1,0,0,1,Yes,2021-08-28,Non-Travel,288,46,1,36,1,2,103887,114275.70000000001,1,Y,Yes,12,2,3,40,3,2,0,2
55,EMP00055,Katherine,Richards,Female,48,Married,Master,Technical Degree,HR,HR Manager,3,2021-07-16,3,1,1,1,No,,Travel_Rarely,376,43,1,47,3,4,65844,72428.40000000001,4,Y,No,17,3,2,40,3,7,1,1
56,EMP00056,Aaron,Thomas,Male,46,Single,Master,Technical Degree,R&D,R&D Manager,4,2018-06-20,6,0,0,1,No,,Non-Travel,160,20,1,20,1,3,105200,115720.00000000001,9,Y,No,21,4,2,40,0,15,4,3
57,EMP00057,Jessica,Rogers,Non-Binary,34,Married,High School,Life Sciences,R&D,Research Scientist,1,2020-02-16,5,5,1,2,No,,Non-Travel,368,17,1,46,3,2,41727,45899.700000000004,2,Y,Yes,13,4,4,40,3,7,1,3
58,EMP00058,Andrea,Wilson,Female,57,Single,PhD,Medical,Sales,Sales Director,5,2023-05-21,2,2,1,1,No,,Non-Travel,344,40,1,43,4,3,91202,100322.20000000001,7,Y,No,19,5,4,40,0,9,6,3
59,EMP00059,Daryl,Perry,Male,28,Single,PhD,Medical,R&D,Senior Researcher,2,2024-07-05,0,0,0,0,Yes,,Non-Travel,320,29,1,40,3,1,98773,108650.3,7,Y,No,18,3,3,40,0,7,3,4
60,EMP00060,Laura,Kirk,Female,52,Married,High School,Marketing,Sales,Sales Executive,1,2022-09-12,2,2,0,0,No,,Non-Travel,184,47,1,23,1,3,37830,41613.0,4,Y,Yes,19,5,3,40,0,6,2,3
61,EMP00061,Jennifer,Deleon,Female,34,Single,Bachelor,Medical,HR,HR Director,5,2022-02-27,3,0,0,3,No,,Non-Travel,408,13,1,51,4,4,70850,77935.0,2,Y,No,23,4,1,40,1,5,3,4
62,EMP00062,William,Johnson,Male,54,Married,PhD,Life Sciences,R&D,Director of R&D,5,2024-10-01,0,0,0,0,Yes,,Non-Travel,264,29,1,33,3,1,146499,161148.90000000002,4,Y,No,15,3,1,40,1,4,5,4
63,EMP00063,Robert,Sanders,Male,57,Single,Master,Medical,R&D,Director of R&D,5,2018-07-03,6,5,2,4,No,,Non-Travel,376,1,1,47,3,3,160719,176790.90000000002,7,Y,No,25,5,2,40,0,13,0,2
64,EMP00064,Wanda,Houston,Female,36,Married,Bachelor,Other,R&D,Director of R&D,5,2022-11-16,2,0,0,1,No,,Non-Travel,360,13,1,45,1,3,125659,138224.90000000002,10,Y,No,15,5,4,40,0,12,5,3
65,EMP00065,Crystal,West,Female,45,Married,Bachelor,Marketing,R&D,R&D Manager,4,2022-10-23,2,0,0,0,No,,Non-Travel,240,49,1,30,4,1,119471,131418.1,0,Y,No,13,3,4,40,0,2,3,3
66,EMP00066,Tamara,Butler,Female,58,Single,Master,Life Sciences,R&D,Director of R&D,5,2022-07-26,2,2,1,1,No,,Travel_Rarely,424,22,1,53,1,2,130924,144016.40000000002,6,Y,No,13,3,3,40,0,8,6,3
67,EMP00067,Michelle,Perez,Female,38,Single,Master,Marketing,Sales,Sales Director,5,2024-02-03,0,0,0,0,Yes,2024-10-25,Non-Travel,384,33,1,48,2,3,112503,123753.3,10,Y,Yes,21,1,2,40,0,10,6,3
68,EMP00068,Jennifer,Krause,Female,34,Single,Associate,Marketing,HR,HR Director,5,2023-03-27,2,2,0,2,No,,Non-Travel,264,14,1,33,3,4,72613,79874.3,0,Y,Yes,15,3,1,40,1,2,6,4
69,EMP00069,Caleb,Simmons,Male,55,Single,Bachelor,Technical Degree,R&D,Director of R&D,5,2015-05-15,10,0,0,4,No,,Non-Travel,344,38,1,43,2,4,146304,160934.40000000002,3,Y,Yes,25,3,2,40,0,13,2,4
70,EMP00070,Amber,Brown,Female,50,Married,High School,Technical Degree,R&D,Research Scientist,1,2023-10-07,0,0,0,0,Yes,2024-05-04,Non-Travel,240,28,1,30,1,1,59364,65300.40000000001,5,Y,Yes,24,3,3,40,0,5,1,4
71,EMP00071,Anthony,Ruiz,Non-Binary,57,Single,High School,Technical Degree,R&D,Senior Researcher,2,2022-07-16,2,0,0,0,No,,Non-Travel,360,6,1,45,1,1,82867,91153.70000000001,10,Y,No,24,3,1,40,1,12,3,3
72,EMP00072,Joseph,Meza,Male,51,Divorced,High School,Technical Degree,HR,HR Manager,3,2023-05-21,2,0,0,2,No,,Travel_Rarely,280,46,1,35,1,2,56155,61770.50000000001,6,Y,No,24,4,4,40,0,8,2,4
73,EMP00073,Amanda,Bowman,Female,55,Single,Bachelor,Marketing,Sales,Sales Manager,3,2021-10-20,3,2,0,2,No,,Travel_Rarely,320,26,1,40,1,4,75049,82553.90000000001,3,Y,No,22,3,3,40,0,6,2,4
74,EMP00074,Joanna,Williams,Female,40,Single,Bachelor,Life Sciences,R&D,Senior Researcher,2,2020-08-28,4,0,0,0,No,,Travel_Rarely,352,38,1,44,2,1,85000,93500.00000000001,2,Y,Yes,17,3,1,40,2,6,3,4
75,EMP00075,Tina,Rush,Female,47,Married,Associate,Marketing,Sales,Sales Manager,3,2023-01-24,1,1,1,0,Yes,2024-02-22,Non-Travel,384,48,1,48,1,3,60412,66453.20000000001,9,Y,No,22,5,3,40,0,10,0,3
76,EMP00076,Patricia,Carter,Female,51,Divorced,Bachelor,Medical,R&D,R&D Manager,4,2014-04-06,11,7,5,6,No,,Travel_Rarely,216,47,1,27,2,4,118078,129885.80000000002,8,Y,No,16,3,1,40,1,19,1,4
77,EMP00077,Tina,Chavez,Female,37,Married,PhD,Technical Degree,R&D,R&D Manager,4,2020-02-14,5,3,0,1,No,,Non-Travel,424,1,1,53,1,4,109069,119975.90000000001,2,Y,No,11,4,1,40,0,7,4,3
78,EMP00078,Sophia,Anderson,Female,51,Single,PhD,Marketing,Sales,Sales Director,5,2024-09-13,0,0,0,0,Yes,,Non-Travel,384,17,1,48,1,2,124682,137150.2,9,Y,No,23,3,1,40,1,9,3,1
79,EMP00079,Megan,Morris,Female,36,Single,Master,Other,R&D,Director of R&D,5,2019-12-17,5,1,0,2,No,,Travel_Rarely,272,38,1,34,4,2,160331,176364.1,8,Y,No,15,3,2,40,1,13,1,3
80,EMP00080,Erika,Madden,Female,59,Single,Master,Life Sciences,R&D,Director of R&D,5,2022-02-27,3,3,0,3,No,,Non-Travel,248,12,1,31,4,4,136746,150420.6,8,Y,Yes,13,2,2,40,1,11,6,3
81,EMP00081,Christopher,Lane,Male,56,Married,Associate,Technical Degree,HR,HR Director,5,2024-06-07,1,0,0,1,No,,Non-Travel,200,28,1,25,1,3,84210,92631.00000000001,6,Y,No,11,3,1,40,3,7,2,3
82,EMP00082,Sean,Blanchard,Male,42,Divorced,Associate,Technical Degree,R&D,Senior Researcher,2,2024-07-10,0,0,0,0,No,,Travel_Rarely,352,33,1,44,3,4,90229,99251.90000000001,5,Y,No,21,3,1,40,0,5,2,4
83,EMP00083,Carrie,Maldonado,Female,34,Single,Associate,Technical Degree,HR,HR Manager,3,2024-08-02,0,0,0,0,No,,Non-Travel,456,32,1,57,3,2,65185,71703.5,2,Y,Yes,16,3,1,40,0,2,6,1
84,EMP00084,Daniel,Cunningham,Male,47,Single,PhD,Marketing,R&D,Director of R&D,5,2022-12-23,2,1,1,2,No,,Travel_Rarely,448,34,1,56,1,4,156915,172606.5,4,Y,Yes,23,5,2,40,1,6,4,1
85,EMP00085,Brenda,Gross,Female,36,Single,Associate,Medical,R&D,Senior Researcher,2,2024-02-07,1,1,1,0,No,,Non-Travel,464,47,1,58,1,4,73859,81244.90000000001,1,Y,No,21,4,2,40,0,2,1,3
86,EMP00086,Sandra,Burns,Female,43,Married,Bachelor,Medical,R&D,R&D Manager,4,2024-01-07,1,0,0,0,No,,Non-Travel,416,42,1,52,3,2,96785,106463.50000000001,3,Y,Yes,12,2,2,40,0,4,1,3
87,EMP00087,Joshua,Hill,Male,48,Married,Bachelor,Medical,R&D,R&D Manager,4,2023-05-24,2,0,0,1,No,,Travel_Rarely,176,12,1,22,4,1,120685,132753.5,5,Y,Yes,15,3,3,40,0,7,3,3
88,EMP00088,Teresa,Ruiz,Female,56,Divorced,Master,Marketing,Sales,Sales Director,5,2016-04-12,9,8,5,9,No,,Non-Travel,272,41,1,34,2,3,95110,104621.00000000001,1,Y,No,23,4,4,40,1,10,5,3
89,EMP00089,David,Cox,Male,32,Divorced,Bachelor,Other,HR,HR Director,5,2024-04-07,1,0,0,1,No,,Non-Travel,280,34,1,35,1,2,78700,86570.0,3,Y,Yes,16,4,4,40,1,4,6,3
90,EMP00090,Kari,Ramirez,Female,43,Married,Bachelor,Technical Degree,HR,HR Director,5,2019-12-08,5,5,2,1,No,,Travel_Rarely,408,2,1,51,3,3,67980,74778.0,7,Y,No,14,3,3,40,0,12,6,3
91,EMP00091,Tyler,Brown,Male,40,Single,High School,Other,R&D,Research Scientist,1,2020-07-03,0,0,0,0,Yes,2021-03-31,Non-Travel,192,14,1,24,1,2,45339,49872.9,5,Y,No,25,3,2,40,0,5,4,4
92,EMP00092,Tiffany,Pope,Female,40,Married,Bachelor,Marketing,Sales,Sales Director,5,2021-03-17,4,4,1,0,No,,Travel_Rarely,216,27,1,27,3,4,109992,120991.20000000001,2,Y,No,11,3,2,40,1,6,0,3
93,EMP00093,Peter,Holmes,Male,49,Single,Bachelor,Life Sciences,Sales,Sales Director,5,2015-08-15,9,5,2,9,No,,Non-Travel,160,36,1,20,4,3,113419,124760.90000000001,2,Y,No,11,3,3,40,0,11,5,3
94,EMP00094,Catherine,Sosa,Female,46,Single,PhD,Technical Degree,Sales,Sales Director,5,2022-04-23,3,3,0,0,No,,Non-Travel,368,31,1,46,3,3,98897,108786.70000000001,6,Y,No,12,3,4,40,2,9,6,2
95,EMP00095,Marisa,Johnston,Female,33,Married,Master,Marketing,R&D,R&D Manager,4,2020-04-13,5,5,4,2,No,,Non-Travel,256,21,1,32,2,2,118113,129924.30000000002,2,Y,Yes,18,3,2,40,1,7,3,3
96,EMP00096,Louis,Brooks,Male,37,Married,Master,Technical Degree,HR,HR Director,5,2023-10-12,1,0,0,0,No,,Non-Travel,304,17,1,38,4,1,77459,85204.90000000001,8,Y,Yes,17,5,1,40,0,9,0,4
97,EMP00097,Jerry,Harris,Male,44,Single,Associate,Technical Degree,HR,HR Specialist,1,2021-07-28,3,1,1,2,No,,Travel_Frequently,376,24,1,47,3,1,43134,47447.4,10,Y,Yes,13,3,2,40,1,13,6,4
98,EMP00098,Shelby,Lucas,Female,36,Single,Master,Life Sciences,R&D,Director of R&D,5,2019-10-16,5,1,0,0,No,,Non-Travel,328,32,1,41,4,2,151611,166772.1,8,Y,No,17,3,1,40,1,13,6,3
99,EMP00099,Carl,Morgan,Male,57,Married,Master,Technical Degree,R&D,Director of R&D,5,2016-09-04,4,4,2,1,Yes,2020-11-09,Non-Travel,352,36,1,44,1,2,167787,184565.7,10,Y,No,14,4,2,40,0,14,3,2
100,EMP00100,Devon,Rice,Male,40,Married,Master,Other,R&D,R&D Manager,4,2016-12-06,8,4,0,7,No,,Non-Travel,216,37,1,27,4,4,124707,137177.7,8,Y,Yes,24,3,4,40,3,16,1,3
101,EMP00101,Hannah,Johnson,Female,38,Single,Bachelor,Technical Degree,HR,HR Manager,3,2024-02-21,1,1,0,1,No,,Travel_Rarely,248,46,1,31,2,1,57288,63016.8,3,Y,Yes,25,4,1,40,0,4,4,3
102,EMP00102,Anthony,Hansen,Male,50,Married,Bachelor,Life Sciences,R&D,R&D Manager,4,2022-01-04,2,1,1,0,Yes,2024-09-01,Non-Travel,384,32,1,48,3,4,111079,122186.90000000001,8,Y,No,15,3,1,40,0,10,3,3
103,EMP00103,Derek,Wallace,Male,51,Single,Master,Technical Degree,R&D,R&D Manager,4,2020-02-27,5,4,3,3,No,,Travel_Rarely,240,9,1,30,2,3,116195,127814.50000000001,4,Y,Yes,22,4,2,40,1,9,2,4
104,EMP00104,Mark,Garcia,Male,58,Divorced,Bachelor,Technical Degree,Sales,Sales Director,5,2021-02-10,4,0,0,0,No,,Non-Travel,344,32,1,43,2,1,116359,127994.90000000001,3,Y,No,21,4,3,40,0,7,5,2
105,EMP00105,Tina,White,Female,50,Single,High School,Marketing,R&D,Senior Researcher,2,2019-11-01,5,4,1,3,No,,Non-Travel,320,16,1,40,4,3,67561,74317.1,9,Y,Yes,17,3,4,40,1,14,0,3
106,EMP00106,Jason,Gilbert,Male,47,Married,Master,Life Sciences,R&D,Director of R&D,5,2011-02-16,14,10,0,10,No,,Travel_Rarely,304,15,1,38,3,4,152679,167946.90000000002,5,Y,No,14,4,2,40,0,19,4,1
107,EMP00107,Samuel,Ross,Male,56,Single,Master,Technical Degree,R&D,Director of R&D,5,2024-08-26,0,0,0,0,No,,Non-Travel,184,21,1,23,3,4,164640,181104.00000000003,4,Y,No,20,2,2,40,0,4,1,3
108,EMP00108,David,Jackson,Male,50,Single,Bachelor,Other,Sales,Sales Director,5,2024-03-06,1,0,0,1,No,,Non-Travel,392,2,1,49,2,3,107035,117738.50000000001,6,Y,No,15,4,2,40,3,7,1,2
109,EMP00109,Justin,Mitchell,Male,38,Single,Bachelor,Medical,R&D,R&D Manager,4,2021-04-05,4,1,0,4,No,,Travel_Frequently,208,8,1,26,2,1,93455,102800.50000000001,5,Y,Yes,21,4,2,40,1,9,2,3
110,EMP00110,Natasha,Williams,Female,38,Married,Master,Marketing,R&D,Senior Researcher,2,2023-06-02,0,0,0,0,Yes,2024-04-20,Travel_Rarely,408,39,1,51,3,2,96655,106320.50000000001,2,Y,No,16,4,2,40,0,2,5,3
111,EMP00111,James,Davenport,Male,50,Single,Bachelor,Technical Degree,R&D,Director of R&D,5,2023-09-01,1,0,0,0,No,,Non-Travel,392,20,1,49,3,1,138796,152675.6,2,Y,No,17,3,2,40,3,3,2,4
